name,artist,mood
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),sad
첫눈처럼 너에게 가겠다,에일리(Ailee),sad
너의 번호를 누르고 (Prod. 영화처럼),#안녕,sad
너였다면,정승환,sad
기다리다,윤하 (YOUNHA),sad
오래된 노래,스탠딩 에그,sad
늦은 밤 너의 집 앞 골목길에서,노을,sad
추억은 만남보다 이별에 남아,정동하,sad
너를 만나,폴킴,sad
시든 꽃에 물을 주듯,HYNN (박혜원),sad
광화문에서 (At Gwanghwamun),규현 (KYUHYUN),sad
그때가 좋았어,케이시 (Kassy),sad
눈사람,정승환,sad
안녕,폴킴,sad
응급실,izi,sad
어떻게 지내 (Prod. By VAN.C),오반,sad
좋니,윤종신,sad
우리 왜 헤어져야 해,신예영,sad
저녁 하늘,에일리(Ailee),sad
미안해,양다일,sad
오늘 헤어졌어요,윤하 (YOUNHA),sad
비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),sad
못해 (Feat. 美),포맨 (4MEN),sad
그리워하다,비투비,sad
너에게 못했던 내 마지막 말은,다비치,sad
서툰 이별을 하려해 (Feat.전상근),윤토벤,sad
이 소설의 끝을 다시 써보려 해,한동근,sad
스토커,10CM,sad
운이 좋았지,권진아,sad
가을 안부,먼데이 키즈 (Monday Kiz),sad
기억해줘요 내 모든 날과 그때를,거미,sad
이별하러 가는 길,임한별,sad
사계 (Four Seasons),태연 (TAEYEON),sad
니 소식,송하예,sad
11:11,태연 (TAEYEON),sad
Hello,허각,sad
지나오다,닐로(Nilo),sad
나를 사랑했던 사람아,허각,sad
사랑이 잘 (With 오혁),아이유,sad
술 한잔 해요,지아,sad
가을밤 떠난 너,케이시 (Kassy),sad
사랑이란 멜로는 없어,전상근,sad
솔직하게 말해서 나,김나영,sad
...사랑했잖아...,린,sad
안아줘,정준일,sad
비,폴킴,sad
조금 취했어 (Prod. 2soo),임재현,sad
"무제(無題) (Untitled, 2014)",G-DRAGON,sad
체념,빅마마,sad
all of my life,박원,sad
안녕이라고 말하지마,다비치,sad
이 별,길구봉구,sad
친구라도 될 걸 그랬어,거미,sad
추억은 사랑을 닮아,박효신,sad
널 사랑하지 않아,어반자카파,sad
노력,박원,sad
밤이 되니까,펀치 (Punch),sad
나만 안되는 연애,볼빨간사춘기,sad
열애중,벤,sad
남이 될 수 있을까,볼빨간사춘기,sad
이름에게,아이유,sad
끝사랑,김범수,sad
널 너무 모르고,헤이즈 (Heize),sad
이럴거면 그러지말지 (Feat. Young K),백아연,sad
눈 떠보니 이별이더라,포맨 (4MEN),sad
끝,권진아,sad
신촌을 못가,포스트맨(Postmen),sad
헤어진 우리가 지켜야 할 것들,김나영,sad
꽃피는 봄이오면,BMK,sad
Goodbye,박효신,sad
우린 어쩌다 헤어진 걸까,허각,sad
하루도 그대를 사랑하지 않은 적이 없었다,임창정,sad
홀로 (Feat. 김나영),정키,sad
시간을 거슬러,린,sad
돌아오지마 (Feat. 용준형 Of 비스트),헤이즈 (Heize),sad
보고 싶다,김범수,sad
바람이 불었으면 좋겠어,길구봉구,sad
어떻게 지내,Crush,sad
살다가 한번쯤,포맨 (4MEN),sad
그립고 그립고 그립다,케이윌,sad
"혼자, 한잔",허각,sad
같은 시간 속의 너,나얼,sad
헤어져줘서 고마워,벤,sad
진심이 담긴 노래 (True Song),케이시 (Kassy),sad
미워도 사랑하니까,다비치,sad
이 바보야,정승환,sad
흔한 이별,허각,sad
오늘도 그대만 (Feat. 정동원),T.P RETRO (타디스 프로젝트舊),sad
잊혀지다 (Feat. 양다일),정키,sad
너는 어땠을까,노을,sad
그리워 그리워,노을,sad
넋두리,닐로(Nilo),sad
넌 내가 보고 싶지 않나 봐,신예영,sad
180도,벤,sad
한번 더 이별,성시경,sad
이런 엔딩,아이유,sad
연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),sad
"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,sad
꿈처럼,벤,sad
헤어지자 (Prod. 정키),휘인 (Whee In),sad
